
# File: Addition.txt
# Version: 1.73
# License: MIT
# Copyright: (c) 2023 Michel Mariani

# Group: 一 (Above) | 怨・㤪
U+6028 U+392A

# Group: 一 (Above) | 𢆶・𫠩
U+221B6 U+2B829
U+284C1 U+2CA27

# Group: 一 (Above) | 𰢵・画
U+308B5 U+753B
U+7575 U+24CBF	≈

# Group: 一 (Above) | 夕・歹
U+5915 U+6B79
U+21587 U+3C5B
U+215B6 U+3C73
U+21FEA U+239C4
U+685A U+3B6E
U+23D16 U+3CE8
U+2085D U+20862
U+28028 U+2B3CE
U+2351C U+2358A
U+24269 U+716D
U+26C5D U+26D1F
U+2E36B U+2E36D
U+2C100 U+2BBF9
U+21585 U+2DB7D

# Group: 一 (Above) | 乙・𠀂
U+4E59 U+20002

# Group: 一 (Above) | 先・𠀡
U+5148 U+20021

# Group: 一 (Above) | 此・𠀢
U+6B64 U+20022

# Group: 一 (Above) | 水・𣱳
U+6C34 U+23C73
U+25B7C U+25BD0

# Group: 一 (Above) | 囦・𠀯
U+56E6 U+2002F

# Group: 一 (Above) | 内・丙
U+5185 U+4E19
U+343B U+3442
U+2096E U+3537
U+7B0D U+41E4
U+25C13 U+25C57
U+7D0D U+42D1
U+225C9 U+6032
U+6290 U+62A6
U+2315A U+661E
U+28512 U+28548
U+6798 U+67C4
U+6C1D U+6C1E
U+3DA7 U+70B3
U+2510B U+772A
U+82AE U+82EA
U+712B U+242F2
U+868B U+86C3
U+9209 U+9235
U+9779 U+9786
U+20AE3 U+20AE7
U+5450 U+20C33
U+59A0 U+216E6
U+2BD53 U+21C46
U+80AD U+2336A
U+239CD U+239F0
U+30871 U+2491D
U+8A25 U+279BF
U+8EDC U+282E3
U+28CD9 U+28CF5
U+2969B U+296C4
U+29B00 U+29B1D
U+9B76 U+29D81
U+3628 U+2A8C3
U+28467 U+2B423
U+311D4 U+2B68E
U+6C6D U+2C1DE
U+7EB3 U+30B03
U+94A0 U+30F65

# Group: 一 (Above) | 𡗚・𠀛
U+215DA U+2001B

# Group: 一 (Above) | 业・亚
U+4E1A U+4E9A
U+663E U+3AEB
U+2D71D U+6076
U+2BA64 U+54D1
U+2D819 U+631C
U+318C7 U+6860
U+58F6 U+58F8
U+2CB3C U+94D4
U+2B97A U+2B97C
U+2E30C U+2C07A
U+2C486 U+309B4

# Group: 一 (Above) | 國・𰀖
U+570B U+30016

# Group: 一 (Above) | 𧰨・豕
U+27C28 U+8C55
U+27C3D U+27C43

# Group: 一 (Above) | 𡚴・𡛎
U+216B4 U+216CE

# Group: 一 (Above) | 鳥・𩾏
U+9CE5 U+29F8F
U+9CEF U+9CF3
U+2A0DF U+9DC7

# Group: 一 (Above) | 凰・𠁉
U+51F0 U+20049

# Group: 一 (Above) | 丩・㔿
U+4E29 U+353F
U+28CDF U+28D09

# Group: 一 (Above) | 生・𤯔
U+751F U+24BD4
U+25465 U+25491
U+28E93 U+9686
U+24DEC U+24E07

# Group: 一 (Above) | 白・百
U+767D U+767E
U+72DB U+3E6E
U+3F1F U+3F23
U+4F2F U+4F70
U+2A9D0 U+5BBF
U+29965 U+2997F
U+273A7 U+27434
U+3577 U+549F
U+5E15 U+5E1E
U+67CF U+6822
U+6E50 U+2ADAF
U+6CCA U+6D26
U+3FDF U+7695
U+7C95 U+7CA8
U+7D48 U+7D54
U+2C800 U+86E8
U+8899 U+88B9
U+8C83 U+8C8A
U+9251 U+9286
U+3224C U+964C
U+2129A U+212E6
U+30392 U+21DBE
U+22623 U+2266F
U+62CD U+22AE6
U+73C0 U+2493F
U+769B U+24FA9
U+253B7 U+253C4
U+479F U+27ED9
U+8FEB U+284B9
U+29280 U+29298
U+7693 U+2A86C
U+6015 U+2AAEE
U+456B U+2C7E1	≈
U+5CB6 U+2D596
U+24F3F U+2DF48
U+8236 U+2E38B
U+82E9 U+2E3A9
U+216F3 U+302FF
U+23186 U+3187F

# Group: 一 (Above) | 自・𦣻
U+81EA U+268FB
U+2C6EC U+5961
U+211DD U+211E2
U+606F U+226A7
U+6D0E U+23D28
U+27806 U+2944B
U+4AC1 U+294D1
U+26911 U+2D45C

# Group: 一 (Above) | 火・灭
U+706B U+706D
U+4673 U+3DBE
U+23E97 U+23ED4
U+2494E U+24959
U+266C0 U+2AC60
U+20233 U+20295	≈
U+2DD05 U+21562
U+2DA2C U+2667B
U+7088 U+2C1A1
U+2462D U+30830
U+82C2 U+30C2C
U+2418E U+317ED
U+2E989 U+32273

# Group: 一 (Above) | 幺・𢆰
U+5E7A U+221B0
U+5406 U+20BDD
U+211A9 U+211BB
U+221DD U+221E8
U+3B43 U+233F3
U+26537 U+26547
U+26637 U+26658
U+22A7C U+304C0

# Group: 一 (Above) | 疋・𤴕
U+758B U+24D15

# Group: 一 (Above) | 旦・亘
U+65E6 U+4E98
U+89DB U+4699
U+4C47 U+4C4E
U+206E3 U+522F
U+547E U+54BA
U+5766 U+57A3
U+59B2 U+59EE
U+2ACA9 U+6966
U+2D58C U+5CD8
U+601B U+6052
U+20D92 U+20DD0
U+26747 U+2678C
U+2C5E5 U+7E06
U+3ADC U+6645
U+67E6 U+6853
U+6CF9 U+6D39
U+709F U+70DC
U+72DA U+72DF
U+42CE U+7D59
U+26B39 U+8341
U+4F46 U+20217
U+2D202 U+2D21A
U+2084E U+2085A
U+62C5 U+22B0E
U+25143 U+25168
U+2B151 U+2637C
U+80C6 U+266B8
U+45A7 U+272B3
